UniqueKey,Ranking,Resight ID,Name,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity
,Competition,IND00301,Avaantika Kakkar,8.7,Ranked 3rd,3,9,Ranked 3rd,8.7,10,8.7,9.1,9.2,Top 5,8.9,-,9.9,9
,Competition,IND01030,Samir R Gandhi,8.6,Top 5,4,8.3,Top 5,8.5,9,6.4,8.3,9.1,Top 10,8.3,-,9.9,9
,Competition,IND01160,Karan Chandhiok,8.5,Top 5,5,8.4,Top 5,8.3,9.7,6.9,8.6,9,Top 10,7.9,-,8.3,10
,Competition,IND00590,Ram Kumar Poornachandran,8.3,Top 10,6,7.9,Top 10,8,9.5,4.9,8,9,,8.5,-,9.1,9
,Competition,IND00553,Yaman Verma,8,Top 10,7,6.7,,6.5,7.5,5.4,8,9.8,Ranked 2nd,10,-,10,9.5
,Competition,IND00038,Anshuman Sakle,7.9,Top 10,8,8.1,Top 10,6.9,9.2,10,9.3,8.3,,7.5,-,9.4,8
,Competition,IND01031,Rahul Rai,7.9,Top 10,9,6.9,Top 10,7.2,6.3,5.6,8.5,8.9,,8.4,-,9.9,8.5
,Competition,IND00628,Bharat Budholia,7.9,Top 10,10,7.8,Top 10,7.2,9,7.4,8.7,8.8,,8.5,-,9.6,8.5
,Competition,IND00490,Naval Satarawala Chopra,7.7,,11,6.9,,6.1,8.3,6.9,8.7,8.2,,7.4,-,8.3,8.5
,Competition,IND00537,Shweta Shroff Chopra,7.6,,12,6.7,,4.9,9.7,7.9,8.7,8,,6.6,-,9.8,7.5
,Competition,IND00118,Manas Kumar Chaudhuri,7.5,,13,5.9,,4.1,10,5.6,7.9,9.1,Top 10,8.3,-,9,9.5
,Competition,IND00639,Hemangini Dadwal,7.5,,14,6.7,,6.5,7.5,5.9,7.2,8.7,,8.7,-,9.6,8
,Competition,IND00033,Anisha Chand,7.2,,15,6.8,,6.5,7.5,5.9,8.4,7.2,,8.2,-,7.4,6.5
,Competition,IND01516,Ravisekhar Nair,7.1,,16,6.1,,4.9,8.8,5.8,7.5,8.5,,6.4,-,9.5,9
,Competition,IND00780,Rudresh Singh,7,,17,5.8,,4.9,6.8,5.6,8.7,8.6,,9,-,10,7.5
,Competition,IND00428,Aparna Mehra,7,,18,7.5,Top 10,7.2,7.8,7.5,8.3,6.8,,7.2,-,7.6,6
,Competition,IND02110,Vaibhav Choukse,7,,19,5.4,,3,9.2,7.1,8.9,9.3,Ranked 3rd,8.6,-,9.8,9.5
,Competition,IND01161,Deeksha Manchanda,7,,20,4.9,,3,8.3,4.6,8.8,8.8,,6.7,-,9.5,9.5
,Competition,IND00726,Gautam Chawla,6.9,,21,6.3,,6.1,5.8,6.5,7.9,7.5,,7.1,-,9.9,6
,Competition,IND02948,Sonam Mathur,6.8,,22,6,,4.1,8.8,7.5,8.2,8.1,,6.2,-,9.8,8
,Competition,IND00153,Pranjal Prateek,6.7,,23,4.7,,3,7.5,5.2,8.2,8.1,,6.6,-,9.2,8
,Competition,IND04713,Kirthi Srinivas,6.7,,24,4.4,,3,5.1,6.5,8.2,9.1,Top 10,9.1,-,9.8,8.5
,Competition,IND00314,Dhruv Rajain,6.7,,25,5.4,,4.9,5.1,5.9,7.5,8,,7.8,-,9.6,7
,Competition,IND00511,Rohan Arora,6.2,,26,4.7,,4.1,5.1,4.9,7.3,7.6,,7.4,-,9.5,6.5
,Competition,IND00451,Gauri Chhabra,6.2,,27,3.7,,4.1,0,4.6,7.6,7.4,,5.8,-,9.5,7
,Competition,IND07656,Abir Roy,6.1,,28,5.3,,4.1,7.5,4.2,9.2,6.5,,10,-,0,9
,Competition,IND00966,Rahul Goel,5.9,,29,2.7,,0,5.1,5.8,8.5,8.9,,6.4,-,6.6,10
,Competition,IND01511,Parthsarathi Jha,5.9,,30,3.6,,3,5.8,0,8.6,8,,5.9,-,9.8,8
,Competition,IND01150,Avinash Amarnath,5.9,,31,2.5,,0,5.8,3.6,8.3,8.6,,7.4,-,8.3,9.5
,Competition,IND00968,Anu Monga,5.7,,32,2.7,,0,5.1,5.9,7.7,8.9,,6.4,-,6.6,10
,Competition,IND01943,Ela Bali,5.6,,33,1.7,,0,6.8,0,7.6,9.3,Top 5,8.6,-,9.6,9.5
,Competition,IND03139,Vijay Pratap Singh Chauhan,5.6,,34,2.7,,0,6.8,3.6,8.3,8.1,,7.6,-,9.3,7.5
,Competition,IND02231,Neelambera Sandeepan,5.3,,35,2.6,,0,4.2,6,8.2,7.6,,5.8,-,9.1,7.5
,Competition,IND02909,Gaurav Desai,5.3,,36,2.2,,0,5.1,3.6,6.9,7.6,,6.9,-,7.7,7
,Competition,IND02652,Simran Dhir,5.3,,37,3.1,,0,7.5,7.8,4.8,6.8,,5.3,-,9.2,6
,Competition,IND01474,Abhay Joshi,5.2,,38,2.8,,0,7.1,3.6,8.4,7.5,,4.8,-,8.2,8.5
,Competition,IND01772,Unnati Agrawal,5.2,,39,2.8,,0,5.8,5.4,8,7.3,,2.8,-,9.3,8.5
,Competition,IND02656,Akshat Kulshrestha,5.1,,40,2.3,,0,5.8,2.6,7.5,7.2,,5.3,-,9.2,7
,Cyber,IND00757,Nikhil Narendran,9,Ranked 1st,1,9.8,Ranked 1st,10,9.6,9.7,9.7,9.3,Ranked 2nd,9.6,-,10,9
,Cyber,IND03226,Mathew Chacko,8,Ranked 2nd,2,8.1,Ranked 2nd,7.5,9.2,7.9,10,8.7,Top 5,7.5,-,10,8.5
,Cyber,IND00235,Supratim Chakraborty,7.7,Ranked 3rd,3,7,Top 5,6,6.6,9.3,9.4,8.8,Ranked 3rd,7.7,-,9.4,9
,Cyber,IND00734,Jyotsna Jayaram,7.6,Top 5,4,6.9,Top 10,6,7.8,7.7,8.2,8.7,Top 5,9.5,-,10,8
,Cyber,IND00298,Arun Prabhu,7.2,Top 5,5,7.2,Top 5,6,7.5,10,8.5,7.5,,8,-,8.2,7
,Cyber,IND07527,Nehaa Chaudhari,7.1,Top 10,6,6.3,Top 10,5,8.7,6.9,7.9,7.9,,6.2,-,9,7.5
,Cyber,IND02023,Probir Roy Chowdhury,6.7,Top 10,7,5.4,Top 10,3.5,6.6,9,7.8,8.5,Top 10,9.2,-,9,8
,Cyber,IND07530,Sreenidhi Srinivasan,6.6,Top 10,8,4.7,Top 10,3.5,6,5.2,7.7,8.1,Top 10,0,-,0,0
,Cyber,IND02052,Sajai Singh,6.5,Top 10,9,8.1,Ranked 3rd,6.8,10,8.7,10,5.6,,8.4,-,0,7
,Cyber,IND01749,Ranjana Adhikari,6.4,Top 10,10,3.3,,0,7.8,6.3,8.2,8.5,Top 10,6.8,-,8.3,9.5
,Cyber,IND00732,Jaideep Reddy,6.2,,11,3.5,,0,7.1,8,8.7,8.3,Top 10,7,-,9.3,8.5
,Cyber,IND04874,Akash Karmakar,6.2,,12,3.2,,0,5.3,8.1,9.2,9.7,Ranked 1st,10,-,9.8,9.5
,Cyber,IND00095,Harsh Walia,5.9,,13,3.9,Top 10,0,8.2,9.4,8.2,7.5,,7.4,-,8.5,7
,Cyber,IND01762,Shreya Suri,5.7,,14,3.1,,0,5.3,8.6,7.9,8.1,Top 10,8.1,-,9.5,7.5
,Cyber,IND00455,Hemant Krishna,5.8,,15,3.1,,0,5.3,8,8.5,6.1,,5.9,-,8.7,5
,Cyber,IND05097,Aadya Misra,5.3,,16,3.3,,0,6,8.5,8.3,7.1,,7.8,-,4.8,8
,Cyber,IND00291,Anirban Mohapatra,5.3,,17,2,,0,6,0,7.9,7.6,,6.5,-,8.9,7.5
,Cyber,IND01738,Namita Viswanath,5.1,,18,3.6,,0,8.7,7.1,8,5.9,,8,-,4.8,5.5
,Cyber,IND04894,Rishi Anand,4,,19,3.3,,0,7.1,6.2,9.7,3.5,,4.1,-,0,5
,Cyber,IND07526,Utham Chengappa,3.1,,20,1.8,,0,5.3,0,7,4,,6.2,-,0,5.5
,Infrastructure,IND00755,Neeraj Menon,8.7,Ranked 1st,1,9.8,Ranked 1st,9.7,10,10,9.2,8.3,Top 10,5.8,6.6,9.8,9.5
