Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND00271,Capital Markets - Equity,Photos/abhinav-2.png,Abhinav Kumar,Partner,Mumbai,TT&A,,7.8,Top 10,10,7.2,Top 10,6.7,8.1,6.7,9.3,9.1,Top 5,8.4,9.6,9.6,8.8,6.1,,5.3,6,7,-,,-,-,-,-,-,-,-,-
IND01915,Capital Markets - Equity,Photos/Arka-Mookerjee-Profile-Picture.jpg,Arka Mookerjee,Partner,Mumbai,JSA Advocates & Solicitors,,7.4,,11,6.5,,4.5,9,8.5,9.3,9,Top 10,9.2,9,9.9,8.5,6.2,,4,7,8,7.9,,10,10,10,8,10,8,8,10
IND02635,Capital Markets - Equity,Photos/Jabarati-Chandra-GS.jpeg,Jabarati Chandra,Partner,Mumbai,S&R Associates,,7.4,,12,6,,4.5,8.1,7,8.5,8.7,,6.5,9.5,10,8.5,7.5,Top 10,7.3,7,8,-,,-,-,-,-,-,-,-,-
IND01774,Capital Markets - Equity,Photos/Vishal-Yaduvanshi.png,Vishal Yaduvanshi,Co-Head of Capital Markets Practice (North),Delhi,Cyril Amarchand Mangaldas,,7.4,,13,7.1,Top 10,6.7,7.6,6.7,8.4,8.6,,7.4,9.2,9.9,8.2,5.3,,6.7,5,4,7.9,,10,8,10,10,10,8,8,10
IND00016,Capital Markets - Equity,Photos/Aditya Cheriyan.png,Aditya George Cheriyan,Partner,Mumbai,Khaitan & Co,,7.1,,14,5.9,,6.2,2.9,7.6,8.3,7.5,,6.7,8.2,6.8,7.8,8.6,Ranked 2nd,8,7,10,7.8,,10,10,8,10,6,8,10,10
IND01975,Capital Markets - Equity,Photos/Madhurima-Mukherjee-profile-picture.jpg,Madhurima Mukherjee (Saha),Partner,Delhi,JSA Advocates & Solicitors,,7,,15,6.9,,5.9,8.7,7.2,9,7.7,,9.3,9.5,0,8.2,5.6,,4,6,-,-,,-,-,-,-,-,-,-,-
IND00601,Capital Markets - Equity,Photos/Varoon Chandra - ECM.jpg,Varoon Chandra,Senior Partner,Mumbai,AZB & Partners,,6.9,,16,4.9,,3.7,9.4,6.2,0,9.1,Top 5,10,9.6,7.6,8.8,6.6,,6,-,-,9.5,Ranked 3rd,10,10,10,10,10,10,10,10
IND00229,Capital Markets - Equity,Photos/Sudghir Bassi.png,Sudhir Bassi,Executive Director,Mumbai,Khaitan & Co,,6.9,,17,5.1,,5.9,5.3,0,8.2,8.4,,7.5,8.4,8.7,9,7.3,,7.3,8,7,8.5,,10,10,10,10,10,10,10,10
IND00579,Capital Markets - Equity,Photos/Lionel-D_Almeida_5789015_1.jpg,Lionel D'Almeida,Senior Partner,Mumbai,AZB & Partners,,6.8,,18,5,,2.7,7.9,6.7,9.1,8.7,,7.3,9.2,9.8,8.5,6.9,,6.7,7,7,-,,-,-,-,-,-,-,-,-
IND00090,Capital Markets - Equity,Photos/Gautham Srinivas web 2025.png,Gautham Srinivas,Partner,Delhi,Khaitan & Co,,6.7,,19,4.9,,3.7,4.7,6.8,8.4,8.5,,7.3,9.3,8.8,8.2,6.7,,-,-,-,8.5,,10,10,10,10,10,10,10,10
